condition,stage,scope,metric,value
RANDOM_NOISE,robot_unit,gripper,within_chunk_second_delta_p95,0.023592367768287655
RANDOM_NOISE,robot_unit,gripper,within_chunk_second_delta_p99,0.028409706950187682
RANDOM_NOISE,robot_unit,gripper,within_chunk_second_delta_max,0.04405510425567627
RANDOM_NOISE,robot_unit,gripper,oscillation_ratio,0.8489208633093526
RANDOM_NOISE,robot_unit,arms,across_run_std_mean,0.021525142633555722
RANDOM_NOISE,robot_unit,arms,across_run_std_median,0.009441893547773361
RANDOM_NOISE,robot_unit,arms,across_run_std_p95,0.07178377397358417
RANDOM_NOISE,robot_unit,arms,across_run_std_p99,0.08916861943900585
RANDOM_NOISE,robot_unit,arms,across_run_std_max,0.09660695493221283
RANDOM_NOISE,robot_unit,arms,within_chunk_delta_mean,0.024661767810937905
RANDOM_NOISE,robot_unit,arms,within_chunk_delta_median,0.021424174308776855
RANDOM_NOISE,robot_unit,arms,within_chunk_delta_p95,0.049191848933696734
RANDOM_NOISE,robot_unit,arms,within_chunk_delta_p99,0.06665362983942026
RANDOM_NOISE,robot_unit,arms,within_chunk_delta_max,0.11690796911716461
RANDOM_NOISE,robot_unit,arms,within_chunk_second_delta_mean,0.029747903735066455
RANDOM_NOISE,robot_unit,arms,within_chunk_second_delta_median,0.02705526351928711
RANDOM_NOISE,robot_unit,arms,within_chunk_second_delta_p95,0.0528999112546444
RANDOM_NOISE,robot_unit,arms,within_chunk_second_delta_p99,0.07462838768959026
RANDOM_NOISE,robot_unit,arms,within_chunk_second_delta_max,0.13374903798103333
RANDOM_NOISE,robot_unit,arms,oscillation_ratio,0.45177983377763836
FIXED_NOISE,raw_policy,all,across_run_std_mean,0.0
FIXED_NOISE,raw_policy,all,across_run_std_median,0.0
FIXED_NOISE,raw_policy,all,across_run_std_p95,0.0
FIXED_NOISE,raw_policy,all,across_run_std_p99,0.0
FIXED_NOISE,raw_policy,all,across_run_std_max,0.0
FIXED_NOISE,raw_policy,all,within_chunk_delta_mean,0.07128971511003923
FIXED_NOISE,raw_policy,all,within_chunk_delta_median,0.06874310970306396
FIXED_NOISE,raw_policy,all,within_chunk_delta_p95,0.13280683755874634
FIXED_NOISE,raw_policy,all,within_chunk_delta_p99,0.13560277223587036
FIXED_NOISE,raw_policy,all,within_chunk_delta_max,0.13560277223587036
FIXED_NOISE,raw_policy,all,within_chunk_second_delta_mean,0.08071764892277618
FIXED_NOISE,raw_policy,all,within_chunk_second_delta_median,0.07285994291305542
FIXED_NOISE,raw_policy,all,within_chunk_second_delta_p95,0.13297207653522491
FIXED_NOISE,raw_policy,all,within_chunk_second_delta_p99,0.20322558283805847
FIXED_NOISE,raw_policy,all,within_chunk_second_delta_max,0.20322558283805847
FIXED_NOISE,raw_policy,all,oscillation_ratio,0.5249500998003992
FIXED_NOISE,raw_policy,right_arm,across_run_std_mean,0.0
FIXED_NOISE,raw_policy,right_arm,across_run_std_median,0.0
FIXED_NOISE,raw_policy,right_arm,across_run_std_p95,0.0
FIXED_NOISE,raw_policy,right_arm,across_run_std_p99,0.0
FIXED_NOISE,raw_policy,right_arm,across_run_std_max,0.0
FIXED_NOISE,raw_policy,right_arm,within_chunk_delta_mean,0.027991562777636002
FIXED_NOISE,raw_policy,right_arm,within_chunk_delta_median,0.027072995901107788
FIXED_NOISE,raw_policy,right_arm,within_chunk_delta_p95,0.048819541931152344
FIXED_NOISE,raw_policy,right_arm,within_chunk_delta_p99,0.05405628681182861
FIXED_NOISE,raw_policy,right_arm,within_chunk_delta_max,0.05405628681182861
FIXED_NOISE,raw_policy,right_arm,within_chunk_second_delta_mean,0.05004995626707872
FIXED_NOISE,raw_policy,right_arm,within_chunk_second_delta_median,0.045806050300598145
FIXED_NOISE,raw_policy,right_arm,within_chunk_second_delta_p95,0.08431929349899292
FIXED_NOISE,raw_policy,right_arm,within_chunk_second_delta_p99,0.0952514111995697
FIXED_NOISE,raw_policy,right_arm,within_chunk_second_delta_max,0.0952514111995697
FIXED_NOISE,raw_policy,right_arm,oscillation_ratio,0.75
FIXED_NOISE,raw_policy,left_arm,across_run_std_mean,0.0
FIXED_NOISE,raw_policy,left_arm,across_run_std_median,0.0
FIXED_NOISE,raw_policy,left_arm,across_run_std_p95,0.0
FIXED_NOISE,raw_policy,left_arm,across_run_std_p99,0.0
FIXED_NOISE,raw_policy,left_arm,across_run_std_max,0.0
FIXED_NOISE,raw_policy,left_arm,within_chunk_delta_mean,0.07051491950239454
FIXED_NOISE,raw_policy,left_arm,within_chunk_delta_median,0.06874310970306396
FIXED_NOISE,raw_policy,left_arm,within_chunk_delta_p95,0.13280683755874634
FIXED_NOISE,raw_policy,left_arm,within_chunk_delta_p99,0.13560277223587036
FIXED_NOISE,raw_policy,left_arm,within_chunk_delta_max,0.13560277223587036
FIXED_NOISE,raw_policy,left_arm,within_chunk_second_delta_mean,0.07957143980699281
FIXED_NOISE,raw_policy,left_arm,within_chunk_second_delta_median,0.07285994291305542
FIXED_NOISE,raw_policy,left_arm,within_chunk_second_delta_p95,0.13297207653522491
FIXED_NOISE,raw_policy,left_arm,within_chunk_second_delta_p99,0.20322558283805847
FIXED_NOISE,raw_policy,left_arm,within_chunk_second_delta_max,0.20322558283805847
FIXED_NOISE,raw_policy,left_arm,oscillation_ratio,0.30952380952380953
FIXED_NOISE,raw_policy,gripper,across_run_std_mean,0.0
FIXED_NOISE,raw_policy,gripper,across_run_std_median,0.0
FIXED_NOISE,raw_policy,gripper,across_run_std_p95,0.0
FIXED_NOISE,raw_policy,gripper,across_run_std_p99,0.0
