condition,stage,run,rmse_vs_run0,l2_vs_run0,max_abs_vs_run0
FIXED_NOISE,robot_unit,10,0.0,0.0,0.0
FIXED_NOISE,robot_unit,11,0.0,0.0,0.0
FIXED_NOISE,robot_unit,12,0.0,0.0,0.0
FIXED_NOISE,robot_unit,13,0.0,0.0,0.0
FIXED_NOISE,robot_unit,14,0.0,0.0,0.0
FIXED_NOISE,robot_unit,15,0.0,0.0,0.0
FIXED_NOISE,robot_unit,16,0.0,0.0,0.0
FIXED_NOISE,robot_unit,17,0.0,0.0,0.0
FIXED_NOISE,robot_unit,18,0.0,0.0,0.0
FIXED_NOISE,robot_unit,19,0.0,0.0,0.0
FIXED_NOISE,robot_unit,20,0.0,0.0,0.0
FIXED_NOISE,robot_unit,21,0.0,0.0,0.0
FIXED_NOISE,robot_unit,22,0.0,0.0,0.0
FIXED_NOISE,robot_unit,23,0.0,0.0,0.0
FIXED_NOISE,robot_unit,24,0.0,0.0,0.0
FIXED_NOISE,robot_unit,25,0.0,0.0,0.0
FIXED_NOISE,robot_unit,26,0.0,0.0,0.0
FIXED_NOISE,robot_unit,27,0.0,0.0,0.0
FIXED_NOISE,robot_unit,28,0.0,0.0,0.0
FIXED_NOISE,robot_unit,29,0.0,0.0,0.0
